Symbol,Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume,Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
BTC,BTC-USD,Bitcoin USD,"18,861.22",-109.97,-0.58%,315.941B,375.49M,1.999B,5.429B,16.751M
ETH,ETH-USD,Ethereum USD,816.17,30.18,3.84%,78.702B,205.089M,782.847M,2.382B,96.428M
BCH,BCH-USD,Bitcoin Cash / BCC USD,"2,097.35",-49.08,-2.29%,35.368B,50.157M,428.507M,1.77B,16.863M
XRP,XRP-USD,Ripple USD,0.8176,0.0618,8.18%,31.319B,55.552M,230.325M,1.001B,38.306B
LTC,LTC-USD,Litecoin USD,373.46,15.95,4.46%,20.306B,226.198M,716.484M,1.798B,54.372M
ADA,ADA-USD,Cardano USD,0.586255,0.039992,7.32%,15.2B,0,0,322.104M,25.927B
IOT,IOT-USD,IOTA USD,4.14,-0.02,-0.48%,11.507B,18.421M,164.885M,346.362M,2.78B
EOS,EOS-USD,EOS USD,10.21,1.33,14.98%,10.21B,66.785M,127.432M,339.268M,1B
DASH,DASH-USD,DigitalCash USD,"1,204.46",62.02,5.43%,9.335B,10.785M,45.996M,282.897M,7.751M
XEM,XEM-USD,NEM USD,0.9507,0.1214,14.64%,8.556B,"268,364","884,037",168.03M,9B
QTUM,QTUM-USD,QTUM USD,61.74,10.98,21.63%,6.174B,0,"1,747",520.926M,100M
XMR,XMR-USD,Monero USD,372.24,-0.51,-0.14%,5.768B,9.544M,38.302M,216.423M,15.496M
BTG,BTG-USD,Bitcoin Gold USD,314.56,3.71,1.19%,5.289B,4.637M,35.754M,273.373M,16.814M
XLM,XLM-USD,Stellar USD,0.2988,0.0252,9.21%,5.334B,7.031M,18.762M,219.793M,17.853B
NEO,NEO-USD,NEO USD,77.89,0.55,0.71%,5.063B,20.073M,124.547M,410.197M,65M
TRX,TRX-USD,Tronix USD,0.04569,0.00013,0.29%,4.569B,"168,783",1.226M,243.419M,100B
ETC,ETC-USD,Ethereum Classic USD,39.79,1.76,4.63%,3.918B,34.471M,137.337M,719.871M,98.474M
BCCOIN,BCCOIN-USD,BitConnect Coin USD,408.98,-0.82,-0.20%,3.627B,0,"26,279","413,754",8.868M
BTM,BTM-USD,BTM* USD,2.42,0.01,0.47%,3.405B,0,0,"324,961",1.407B
OMG,OMG-USD,OmiseGo USD,19.85,1.45,7.88%,2.784B,15.226M,61.899M,182.099M,140.245M
PPT,PPT-USD,Populous USD,48.72,0.91,1.89%,2.594B,0,0,3.924M,53.252M
GNO,GNO-USD,Gnosis USD,208.61,13.96,7.17%,2.086B,0,47,7.112M,10M
LSK,LSK-USD,Lisk USD,16,0,0.00%,1.857B,"21,922","152,134",121.897M,116.081M
VEN,VEN-USD,Vechain USD,1.68,-0.02,-1.18%,1.68B,"15,544","220,408",139.387M,1B
WAVES,WAVES-USD,Waves USD,16.59,0.85,5.40%,1.659B,"22,849","198,717",92.525M,100M
ZEC,ZEC-USD,ZCash USD,571.83,-11.89,-2.04%,1.639B,10.004M,61.292M,269.587M,2.866M
SNT,SNT-USD,Status Network Token USD,0.217754,0.036075,19.86%,1.482B,0,29,48.563M,6.805B
